Testing and treatment strategy	Effectiveness{QALYs gained}	Cost{$}	delta-effect	delta-cost	ICER
baseline(no testing)	26.8666	5018	0	0	0
A	27.02	6833	0.1534000000000013	1815	11831.812255540968
F	27.035	7280	0.015000000000000568	447	29799.999999998872
H	27.0355	7308	0.0004999999999988347	28	56000.000000130516
I	27.0444	7934	0.008900000000000574	626	70337.07865168086
B	27.045	7980	0.0006000000000021544	46	76666.6666663914
